"","Year","Muni","FOB","TONS"
"267",2015,"Travesseiro",528849.02726,16102.1743722
"268",2015,"Taquari",330466.62458,22042.03489329
"269",2015,"Teutonia",738352.00331,1948.91632254
"270",2015,"Vespasiano Correa",216000.222828,4099.75912722
"271",2015,"Westfalia",98101.041064,11360.540323397
"272",2015,"Pouso Novo",388864.399583,1026.42665304
"273",2015,"Progresso",69478.4448746,442.913954065
"274",2015,"Venancio Aires",723.059848062,4.075041262
"275",2015,"Passa Sete",60.289140261,0.159136142
"276",2015,"Cacique Doble",58.517315818,1.919218483
"277",2015,"Machadinho",68283.775930585,17198.941088951
"278",2015,"Tupanci Do Sul",597946.86046,1578.31006216
"279",2015,"Barra Do Guarita",4731468.1137,179925.6261451
"280",2015,"Boa Vista Do Burica",2889544.80257,11638.0513509
"281",2015,"Bom Progresso",77250.371972,203.906145274
"282",2015,"Braga",153133.47494,5488.27589177
"283",2015,"Campo Novo",106740.060554,5283.466572368
"284",2015,"Derrubadas",173813.344666,458.788847186
"285",2015,"Redentora",475736.35091,17433.2153992
"286",2015,"Soledade",277422.1293279,927.32220576
"287",2015,"Monte Alegre Dos Campos",26859.06574896,1589.528025373
"288",2015,"Pinhal Da Serra",7032.53895604,169.140644202
"289",2015,"Passo Do Sobrado",55170.4995218,3309.901894482
"290",2015,"Igrejinha",19576.3958747,393.506199761
"291",2015,"Vargem",6366.7638489,145.421334183
"292",2015,"Abelardo Luz",4276.4984207,11.340521256
"293",2015,"Caibi",44636.83554293,2608.075663839
"294",2015,"Cunha Pora",757500.761014,17864.36103703
"295",2015,"Cunhatai",1139521.39570034,3384.6174043
"296",2015,"Modelo",59.251104255,0.373482747
"297",2015,"Saltinho",166.684438267,4.775257397
"298",2015,"Santa Terezinha Do Progresso",272.06271023,3.991061128
"299",2015,"Serra Alta",61590.071285427,119.233111452
"300",2015,"Sul Brasil",377240.2865291,19418.49300206
"301",2015,"Pinhalzinho",648645.0959214,33389.0910022
"302",2015,"Barra Bonita",655115.9294068,33722.17800553
"303",2015,"Belmonte",873185.896027,44947.35800466
"304",2015,"Itapiranga",27044.768464,592.34860376
"305",2015,"Guaraciaba",681604.623853,32322.5343138
"306",2015,"Romelandia",132363.693165,1299.55283454
"307",2015,"Sao Jose Do Cedro",726154.52446,15851.61400382
"308",2015,"Sao Miguel D Oeste",843220.39609,10429.13313777
"309",2015,"Campo Belo Do Sul",143550.27614225,5183.910443
"310",2015,"Painel",221531.06491,2804.06279839
"311",2015,"Lages",382066.452759,1113.00741032
"312",2015,"Sao Jose Do Cerrito",10184.19236881,93.43973954
"313",2015,"Icara",4296.1442102,28.175591985
"314",2015,"Morro Da Fumaca",5227.5834809,56.78373017
"315",2015,"Andira",68498.860371,1190.158587752
"316",2015,"Cornelio Procopio",59993.707998418,907.136826354
"317",2015,"Nova America Da Colina",209047.384855,2155.354121681
"318",2015,"Santo Antonio Do Paraiso",502932.2634,11222.00854607
