FOB,FOB_per_TONS,Muni,TONS,Year,codigo_ibg,estado_id,id,pib
9256306.164,33.41420007,Alto Paraguai,277017.1407,2016,5100508,13,2283,65755
2319196.715,51.99628468,Sapezal,44603.12364,2016,5107875,13,2402,1215026
3707242.15,65.80227743,Brasnorte,56339.11614,2015,5101902,13,2295,323187
4549.740124,125.1985494,Carlinda,36.3401984,2017,5102793,13,2303,106291
1013625.112,64.55958424,Coronel Sapucaia,15700.614,2014,5003157,12,2223,95738
394604.2611,60.72333043,Aral Moreira,6498.396222,2016,5001243,12,2208,212010
2800568.598,38.86078003,Bela Vista,72066.71086,2017,5002100,12,2212,256123
205926.7541,153.9452228,Bandeirantes,1337.662516,2015,5001508,12,2209,115579
6287237.05,68.48788257,Bandeirantes,91800.72173,2014,5001508,12,2209,115579
35283.28153,37.41839898,Bandeirantes,942.9393693,2017,5001508,12,2209,115579
391183.0981,62.2058559,Jaraguari,6288.525291,2014,5004908,12,2242,88022
494594.3749,41.22545027,Rio Brilhante,11997.3068,2015,5007208,12,2262,841910
384884.7931,45.42972717,Juti,8472.091229,2016,5005152,12,2245,87867
57453.68931,155.8774337,Taquarussu,368.5824686,2017,5007976,12,2273,68238
61462.73065,518.799796,Porto Rico,118.471,2014,4120200,18,3473,33832
46457.79104,95.4327611,Loanda,486.8117667,2017,4113502,18,3382,248918
828357.1237,14.51207064,Rondon,57080.56034,2016,4122602,18,3506,174930
106227.0174,58.48512238,Nova Londrina,1816.308372,2015,4117107,18,3429,185838
1452382.741,9.095233564,Rosana,159686.1401,2015,3544251,26,5279,904911
272211.8014,60.54939909,Marilena,4495.697818,2015,4115002,18,3400,55772
938683.2732,55.46155219,Marilena,16924.93693,2016,4115002,18,3400,55772
89419.50631,89.59601045,Sandovalina,998.03,2014,3545506,26,5293,334383
933485.2115,37.92736073,Colorado,24612.44847,2015,4105904,18,3272,437638
111185.4577,6.297672192,Tamboara,17655.00875,2016,4126702,18,3562,60795
68053.75936,41.53212784,Uniflor,1638.581091,2015,4128302,18,3582,25968
412233.5421,62.20585589,Lobato,6626.925009,2014,4113601,18,3383,122989
537.1409923,59.78712607,Lobato,8.984224992,2016,4113601,18,3383,122989
753535.9409,89.73578986,Cafeara,8397.273173,2017,4103404,18,3239,36223
112220.0985,62.20585589,Guaraci,1804.011807,2014,4109203,18,3326,52258
2805330.988,72.29491394,Guaraci,38803.98821,2015,4109203,18,3326,52258
163347.1635,13.16371677,Guaraci,12408.89381,2016,4109203,18,3326,52258
1901078.597,62.20585589,Astorga,30561.08737,2014,4102109,18,3218,323469
108850.4054,19.85127315,Astorga,5483.295936,2016,4102109,18,3218,323469
443725.2918,62.20585589,Pitangueiras,7133.175573,2014,4119657,18,3465,38985
1.33E+07,83.89008715,Pitangueiras,158880.965,2015,4119657,18,3465,38985
8286905.319,41.84907381,Prado Ferreira,198018.8464,2016,4120333,18,3475,46800
7354819.482,141.2897879,Tarabai,52054.85541,2015,3553906,26,5384,56698
19276.04408,89.59601047,Tarabai,215.144,2014,3553906,26,5384,56698
1618532.713,87.54291968,Rancho Alegre,18488.44794,2017,4121307,18,3489,40283
9688.473897,126.6449249,Santa Mariana,76.50108292,2017,4123907,18,3522,153540
76754.35751,47.05928584,Alto Alegre,1631.014074,2015,3501103,26,4793,58816
1294972.742,43.44989306,Alto Alegre,29803.81885,2016,3501103,26,4793,58816
22774.45019,36.3045381,Planalto,627.316897,2015,3539608,26,5225,81379
41017.80757,19.42685699,Planalto,2111.397,2014,3539608,26,5225,81379
2041748.912,230.5965296,Formiga,8854.204855,2017,3126109,11,1636,818654
3284990.966,122.720054,Cristais,26768.16754,2016,3120201,11,1569,120582
1315920.766,57.45903329,Cristais,22901.89533,2017,3120201,11,1569,120582
41971.22623,494.5843353,Nepomuceno,84.86161659,2015,3144607,11,1861,270287
1178871.607,130.8699419,Nepomuceno,9007.963099,2016,3144607,11,1861,270287
363684.0389,16.26322473,Nepomuceno,22362.35709,2017,3144607,11,1861,270287
11387.25802,6.750731338,Coqueiral,1686.818427,2015,3118700,11,1552,105867
84151.59454,66.83777423,Coqueiral,1259.042443,2016,3118700,11,1552,105867
24762.75767,193.3093565,Coqueiral,128.0991159,2017,3118700,11,1552,105867
57256.51142,38.0021678,Campos Gerais,1506.664349,2017,3111606,11,1472,331411
867.1812992,6.487894891,Alfenas,133.6614285,2015,3101607,11,1361,1282830
1807642.454,489.0369541,Alfenas,3696.331,2014,3101607,11,1361,1282830
946705.428,66.83777424,Alfenas,14164.22732,2016,3101607,11,1361,1282830
1205813.563,320.6750721,Alfenas,3760.234793,2017,3101607,11,1361,1282830
195773.0194,41.20077978,Serrania,4751.682382,2017,3166907,11,2131,112629
56237.78263,489.0369543,Divisa Nova,114.997,2014,3122405,11,1595,56097
80886.81698,25.63468234,Divisa Nova,3155.366464,2017,3122405,11,1595,56097
443725.2918,62.20585589,Pitangueiras,7133.175573,2014,3539509,26,5224,563330
1.33E+07,83.89008715,Pitangueiras,158880.965,2015,3539509,26,5224,563330
112220.0985,62.20585589,Guaraci,1804.011807,2014,3517901,26,4986,143198
2805330.988,72.29491394,Guaraci,38803.98821,2015,3517901,26,4986,143198
163347.1635,13.16371677,Guaraci,12408.89381,2016,3517901,26,4986,143198
183.8376435,38.09125651,Itaporanga,4.826242564,2015,3522802,26,5044,139479
3905209.219,103.882691,Jaboti,37592.4919,2016,4111704,18,3359,37720
3667540.224,16.26403647,Ponta Grossa,225500,2014,4119905,18,3468,5925947
2435050,219.4279797,Ponta Grossa,11097.263,2015,4119905,18,3468,5925947
40998.18298,28.55685607,Ponta Grossa,1435.668649,2016,4119905,18,3468,5925947
426480.6119,56.4011587,Ponta Grossa,7561.55763,2017,4119905,18,3468,5925947
166.6844383,34.90585416,Saltinho,4.775257397,2015,3545159,26,5289,117706
655115.9294,19.42685699,Barra Bonita,33722.17801,2015,3505302,26,4840,809910
648645.0959,19.42685699,Pinhalzinho,33389.091,2015,3538204,26,5212,133542
224194.794,39.77724826,Vargem,5636.257,2014,3556354,26,5414,73852
6366.763849,43.78149798,Vargem,145.4213342,2015,3556354,26,5414,73852
425960.3343,39.9095176,Machado,10673.15167,2017,3139003,11,1794,715437
78777.14717,39.89400646,Cambuquira,1974.661212,2017,3110707,11,1462,106356
382066.4528,343.2739524,Lages,1113.00741,2015,4209300,24,4554,2694965
226459.3923,39.77724827,Ponte Alta,5693.189,2014,4213302,24,4612,59678
224194.794,39.77724826,Vargem,5636.257,2014,4219150,24,4696,34839
6366.763849,43.78149798,Vargem,145.4213342,2015,4219150,24,4696,34839
7507128.363,39.77724827,Campos Novos,188729.203,2014,4203600,24,4469,863425
99642.12623,39.77724827,Monte Carlo,2505.003,2014,4211058,24,4578,126041
952370.3464,39.77724825,Lagoa Vermelha,23942.59,2014,4311304,23,4147,502670
58.51731582,30.49017938,Cacique Doble,1.919218483,2015,4303202,23,3979,64002
70428.42934,25.58708471,Floriano Peixoto,2752.499166,2016,4308250,23,4084,32269
257963.9806,134.8544086,David Canabarro,1912.907285,2016,4306304,23,4044,85263
273199.29,815.9186757,Gentil,334.836422,2017,4308854,23,4094,50780
1360130.432,19.31744096,Mato Castelhano,70409.45201,2016,4312138,23,4166,51194
370902.9557,47.42558839,Coxilha,7820.73493,2017,4305975,23,4037,83217
522648.4598,39.77724827,Nicolau Vergueiro,13139.382,2014,4312674,23,4185,49539
1994657.083,39.77724826,Ernestina,50145.678,2014,4307054,23,4065,64674
771267.4389,39.77724826,Tio Hugo,19389.663,2014,4321469,23,4364,55321
635.5839955,138.4413321,Tio Hugo,4.590998842,2016,4321469,23,4364,55321
3158790.282,39.77724826,Soledade,79411.986,2014,4320800,23,4352,379688
277422.1293,299.1647645,Soledade,927.3222058,2015,4320800,23,4352,379688
19659.977,16.89751002,Carazinho,1163.483671,2015,4304705,23,4006,1194315
1545301.327,36.77432465,Carazinho,42021.20207,2016,4304705,23,4006,1194315
3576385.16,39.77724826,Carazinho,89910.321,2014,4304705,23,4006,1194315
5617.526807,129.2530788,Carazinho,43.46145452,2017,4304705,23,4006,1194315
1452272.187,78.21021922,Erebango,18568.829,2015,4306973,23,4063,46027
399247.917,147.8725374,Erebango,2699.946346,2016,4306973,23,4063,46027
490021.821,41.03685877,Ponte Preta,11941.01682,2015,4314787,23,4239,26910
335941.6006,46.77195889,Faxinalzinho,7182.542887,2015,4308052,23,4080,29582
442951.0205,34.72315608,Marcelino Ramos,12756.6463,2015,4311908,23,4161,71185
5661.495745,39.77724826,Peritiba,142.33,2014,4212601,24,4605,47355
15286.03851,39.77724826,Alto Bela Vista,384.291,2014,4200754,24,4422,31644
68283.77593,3.970231398,Machadinho,17198.94109,2015,4311700,23,4155,76252
979831.5643,39.77724826,Bom Jesus,24632.965,2014,4202537,24,4454,49300
4276.498421,377.0989291,Abelardo Luz,11.34052126,2015,4200101,24,4414,385712
4147.313101,3.985652377,Abelardo Luz,1040.560668,2016,4200101,24,4414,385712
13406.25429,144.426135,Abelardo Luz,92.82429591,2017,4200101,24,4414,385712
210263.8965,252.3688657,Irati,833.161,2014,4110706,18,3346,711104
2126159.196,36.95881803,Imbituva,57527.79199,2014,4110102,18,3339,272552
781994.2071,97.0877363,Imbituva,8054.510661,2015,4110102,18,3339,272552
111846.7198,12.34786559,Imbituva,9057.980024,2016,4110102,18,3339,272552
132076.8103,45.8095008,Imbituva,2883.175062,2017,4110102,18,3339,272552
45265.83576,9.128128585,Ventania,4958.93932,2015,4128534,18,3584,111281
