YEAR,BIOME,STATE,MUNICIPALITY,LOGISTICS HUB,PORT,EXPORTER,IMPORTER,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,India,Soy bean equivalents,7.176069729,0.036173145
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,Iran,Soy bean equivalents,62.20082841,2.184181378
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,South Korea,Soy bean equivalents,0.413324117,0.442660797
2014,AMAZONIA,MATO GROSSO,Diamantino,RONDONOPOLIS,Paranagua,Cofco,Cofco,Turkey,Soy bean equivalents,5.681744076,0.126748927
2014,AMAZONIA,MATO GROSSO,Feliz Natal,SORRISO,Santos,Cofco,Cofco,China,Soy bean equivalents,651027.7035,28113.07689
2014,AMAZONIA,MATO GROSSO,Feliz Natal,SORRISO,Santos,Cofco,Cofco,Italy,Soy bean equivalents,108854.0299,3823.303421
2014,AMAZONIA,MATO GROSSO,Feliz Natal,SORRISO,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,637766.0281,4934.45285
2014,AMAZONIA,MATO GROSSO,Feliz Natal,SORRISO,Santos,Cofco,Cofco,Egypt,Soy bean equivalents,1551321.96,6001.361574
2014,AMAZONIA,MATO GROSSO,Feliz Natal,SORRISO,Paranagua,Cofco,Cofco,China,Soy bean equivalents,1230.279123,2.637265003
2014,AMAZONIA,MATO GROSSO,Santa Carmem,SORRISO,Santos,Cofco,Cofco,China,Soy bean equivalents,293917.2391,12692.11417
2014,AMAZONIA,MATO GROSSO,Santa Carmem,SORRISO,Santos,Cofco,Cofco,Italy,Soy bean equivalents,49143.95462,1726.093651
2014,AMAZONIA,MATO GROSSO,Santa Carmem,SORRISO,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,287930.0361,2227.740463
2014,AMAZONIA,MATO GROSSO,Santa Carmem,SORRISO,Santos,Cofco,Cofco,Egypt,Soy bean equivalents,700369.9919,2709.414077
2014,AMAZONIA,MATO GROSSO,Santa Carmem,SORRISO,Paranagua,Cofco,Cofco,China,Soy bean equivalents,555.4298858,1.190636964
2014,AMAZONIA,MATO GROSSO,Sinop,SORRISO,Santos,Cofco,Cofco,China,Soy bean equivalents,31375.0574,1354.856938
2014,AMAZONIA,MATO GROSSO,Sinop,SORRISO,Santos,Cofco,Cofco,Italy,Soy bean equivalents,5246.015518,184.2569274
2014,AMAZONIA,MATO GROSSO,Sinop,SORRISO,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,30735.93586,237.8066871
2014,AMAZONIA,MATO GROSSO,Sinop,SORRISO,Santos,Cofco,Cofco,Egypt,Soy bean equivalents,74763.04814,289.2243492
2014,AMAZONIA,MATO GROSSO,Sinop,SORRISO,Paranagua,Cofco,Cofco,China,Soy bean equivalents,59.29099158,0.127098033
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Bangladesh,Soy bean equivalents,11113.81993,153.3038919
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Myanmar,Soy bean equivalents,3127.700559,703.2626253
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Cambodia,Soy bean equivalents,569.0040045,114.005249
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Sri Lanka,Soy bean equivalents,6575.353729,13.97769048
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,China,Soy bean equivalents,28109.83089,697.2823823
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,France,Soy bean equivalents,178911.4425,727.6290564
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Indonesia,Soy bean equivalents,4148.563883,335.4353095
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Italy,Soy bean equivalents,193932.8492,1751.661642
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,South Korea,Soy bean equivalents,78944.50728,151.3646342
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Vietnam,Soy bean equivalents,2242.76748,220.7771012
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Spain,Soy bean equivalents,203470.0414,656.6923823
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Thailand,Soy bean equivalents,1912.348241,433.7854554
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,16865.89853,141.3674545
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Santos,Cofco,Alimport - Empresa Comercializadora De Alimentos,Cuba,Soy bean equivalents,385237.1064,2357.505715
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,China,Soy bean equivalents,5235.299004,7.007204116
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,France,Soy bean equivalents,96.9182645,0.210916844
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,India,Soy bean equivalents,766.9999989,3.866294943
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,Iran,Soy bean equivalents,6648.21234,233.4519002
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,South Korea,Soy bean equivalents,44.17732954,47.31292248
2014,AMAZONIA,MATO GROSSO,Pontes E Lacerda,RONDONOPOLIS,Paranagua,Cofco,Cofco,Turkey,Soy bean equivalents,607.2819614,13.54730801
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,CAMPO VERDE,Santos,Cofco,Cofco,China,Soy bean equivalents,2388,24778.317
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,CAMPO VERDE,Santos,Cofco,Cofco,Italy,Soy bean equivalents,102086,192.997
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,CAMPO VERDE,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,258495,1000
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,CAMPO VERDE,Santos,Cofco,Cofco,Turkey,Soy bean equivalents,1464480,6810.737
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,CAMPO VERDE,Paranagua,Cofco,Cofco,China,Soy bean equivalents,378,0.81
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,384840.2335,4980.899747
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Santos,Cofco,Concordia Trdg,Italy,Soy bean equivalents,459575.5047,865.4905412
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Santos,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,193740.7112,505.4622607
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Santos,Cofco,Concordia Trdg,Thailand,Soy bean equivalents,325279.8313,594.6614832
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Santos,Cofco,Amaggi,Thailand,Soy bean equivalents,82920.78654,166.8426857
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,12461.72604,8818.349012
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,France,Soy bean equivalents,7883.724614,14.84721058
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,Italy,Soy bean equivalents,5798.841453,254.0500895
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,South Korea,Soy bean equivalents,132664.2196,553.2278497
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,3788.88564,23.26375188
2014,AMAZONIA,MATO GROSSO,Nova Ubirata,PRIMAVERA DO LESTE,Paranagua,Cofco,Concordia Trdg,Portugal,Soy bean equivalents,49590.60507,94.81936816
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Bangladesh,Soy bean equivalents,167667.5287,2312.803777
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Myanmar,Soy bean equivalents,47185.74052,10609.701
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Cambodia,Soy bean equivalents,8584.221795,1719.928744
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Sri Lanka,Soy bean equivalents,99198.41397,210.8730243
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,China,Soy bean equivalents,424076.142,10519.48067
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,France,Soy bean equivalents,2699129.517,10977.30272
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Indonesia,Soy bean equivalents,62586.89258,5060.511125
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Italy,Soy bean equivalents,2925748.461,26426.26752
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,South Korea,Soy bean equivalents,1190988.384,2283.547359
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Vietnam,Soy bean equivalents,33835.28645,3330.731576
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Spain,Soy bean equivalents,3069630.354,9907.123705
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Thailand,Soy bean equivalents,28850.44977,6544.260728
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,254445.6852,2132.725912
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Santos,Cofco,Alimport - Empresa Comercializadora De Alimentos,Cuba,Soy bean equivalents,5811840.935,35566.27331
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,China,Soy bean equivalents,78981.81289,105.7134815
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,France,Soy bean equivalents,1462.147668,3.181975793
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,India,Soy bean equivalents,11571.26849,58.32847055
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,Iran,Soy bean equivalents,100297.5881,3521.948658
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,South Korea,Soy bean equivalents,666.4768474,713.7816556
2014,AMAZONIA,MATO GROSSO,Nova Maringa,RONDONOPOLIS,Paranagua,Cofco,Cofco,Turkey,Soy bean equivalents,9161.698349,204.3801023
2014,AMAZONIA,MATO GROSSO,Nova Maringa,LUCAS DO RIO VERDE,Santos,Cofco,Cofco,China,Soy bean equivalents,1717864,14329.23
2014,AMAZONIA,MATO GROSSO,Nova Maringa,LUCAS DO RIO VERDE,Santos,Cofco,Cofco,Italy,Soy bean equivalents,1412287,2620.83
2014,AMAZONIA,MATO GROSSO,Nova Maringa,LUCAS DO RIO VERDE,Santos,Cofco,Cofco,Turkey,Soy bean equivalents,310194,1385.496
2014,AMAZONIA,MATO GROSSO,Porto Dos Gauchos,NOVA MARINGA,Santos,Cofco,Cofco,China,Soy bean equivalents,700319,4157.98
2014,AMAZONIA,MATO GROSSO,Porto Dos Gauchos,NOVA MARINGA,Santos,Cofco,Cofco,Italy,Soy bean equivalents,461698,1049.188
2014,AMAZONIA,MATO GROSSO,Porto Dos Gauchos,NOVA MARINGA,Paranagua,Cofco,Cofco,China,Soy bean equivalents,870,21.368
2014,AMAZONIA,MATO GROSSO,Tabapora,SINOP,Santos,Cofco,Cofco,China,Soy bean equivalents,417,7439.881
2014,AMAZONIA,MATO GROSSO,Tabapora,SINOP,Santos,Cofco,Cofco,Italy,Soy bean equivalents,1190811,2251.274
2014,CERRADO,TOCANTINS,Dianopolis,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Cofco,Mexico,Soy bean equivalents,5767841,10469.662
2014,CERRADO,TOCANTINS,Dianopolis,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Cofco,United States,Soy bean equivalents,3856370,34586.816
2014,CERRADO,TOCANTINS,Silvanopolis,SILVANOPOLIS,Salvador,Cofco,Concordia Trdg,China,Soy bean equivalents,526446,26573.148
2014,CERRADO,PIAUI,Corrente,CORRENTE,Salvador,Cofco,Concordia Trdg,China,Soy bean equivalents,479448.9169,3730.184
2014,CERRADO,PIAUI,Sebastiao Barros,CORRENTE,Salvador,Cofco,Concordia Trdg,China,Soy bean equivalents,57551.08307,447.756
2014,CERRADO,BAHIA,Luis Eduardo Magalhaes,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Concordia Trdg,China,Soy bean equivalents,1861708,177770.738
2014,CERRADO,BAHIA,Luis Eduardo Magalhaes,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Concordia Trdg,Germany,Soy bean equivalents,2635000,16000
2014,CERRADO,BAHIA,Luis Eduardo Magalhaes,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Concordia Trdg,Japan,Soy bean equivalents,3052500,44048.414
2014,CERRADO,BAHIA,Luis Eduardo Magalhaes,LUIS EDUARDO MAGALHAES,Salvador,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,2740000,10000
2014,CERRADO,MINAS GERAIS,Paracatu,PATOS DE MINA,Sao Francisco Do Sul,Cofco,Concordia Trdg,Vietnam,Soy bean equivalents,418855.9895,1211.46621
2014,CERRADO,MINAS GERAIS,Paracatu,PATOS DE MINA,Paranagua,Cofco,Concordia Trdg,France,Soy bean equivalents,46547.99884,2471.161567
2014,CERRADO,MINAS GERAIS,Paracatu,PATOS DE MINA,Paranagua,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,19432.99951,39.28522302
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,1155072,21155.4
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,1837116,13526.135
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Santos,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,530000,1000
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,Bangladesh,Soy bean equivalents,665250,773.25
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,324818,3933.021
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,33403,68.169
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,France,Soy bean equivalents,134769.9953,319.4192538
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,India,Soy bean equivalents,690245,1272.27462
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,South Korea,Soy bean equivalents,15954,31.78
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,235500,500
2014,CERRADO,GOIAS,Bom Jesus De Goias,BOM JESUS DE GOIAS,Paranagua,Cofco,Concordia Trdg,Slovenia,Soy bean equivalents,537706.9812,1396.412126
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,721748.5971,11636.75622
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,1080327.405,6978.831905
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,187365.9956,4153.850886
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Italy,Soy bean equivalents,8947.785103,669.9152288
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Italy,Soy bean equivalents,29492.34129,55.75638773
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Vietnam,Soy bean equivalents,131163.0033,855.8859981
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,288254.9489,1794.165844
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,432382.4234,836.345816
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Turkey,Soy bean equivalents,173172.092,557.5638773
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Cofco,Egypt,Soy bean equivalents,288254.9489,1115.127755
2014,CERRADO,GOIAS,Jatai,JATAI,Santos,Cofco,Alimport - Empresa Comercializadora De Alimentos,Cuba,Soy bean equivalents,340740.6777,572.7737479
2014,CERRADO,GOIAS,Jatai,JATAI,Sao Francisco Do Sul,Cofco,Cofco,China,Soy bean equivalents,19911.72119,38.69660578
2014,CERRADO,GOIAS,Jatai,JATAI,Paranagua,Cofco,Cofco,China,Soy bean equivalents,206481.5156,2694.684474
2014,CERRADO,GOIAS,Jatai,JATAI,Paranagua,Cofco,Cofco,Iran,Soy bean equivalents,2073660.415,4019.673255
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Santos,Cofco,Concordia Trdg,China,Soy bean equivalents,2120000,8121.83
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Santos,Cofco,Concordia Trdg,Italy,Soy bean equivalents,1129261,2447.452
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Santos,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,519000,2000
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Santos,Cofco,Concordia Trdg,Egypt,Soy bean equivalents,1314125,2460.908
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Paranagua,Cofco,Concordia Trdg,China,Soy bean equivalents,209574,33948.595
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Paranagua,Cofco,Concordia Trdg,South Korea,Soy bean equivalents,18047,648.559
2014,CERRADO,GOIAS,Rio Verde,RIO VERDE,Paranagua,Cofco,Concordia Trdg,Netherlands,Soy bean equivalents,228224,2484.553
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,369496.3792,5957.39196
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,553069.4015,3572.785774
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,China,Soy bean equivalents,95921.29065,2126.54776
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,Italy,Soy bean equivalents,4580.783684,342.9604885
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,Italy,Soy bean equivalents,15098.48909,28.54426523
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,Vietnam,Soy bean equivalents,67148.38798,438.1674985
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,147570.9968,918.5162058
2014,CERRADO,GOIAS,Baliza,JATAI,Santos,Cofco,Cofco,Tunisia,Soy bean equivalents,221356.4952,428.1639784
